,importance
returns,0.19763213582678849
rsi_14,0.14083372045577075
macd,0.10451435042659188
sma_30,0.09730310155286462
macd_signal,0.0952782748754045
bb_upper,0.09526893243065959
fear_greed,0.09018792684409269
sma_7,0.0899361759907662
bb_lower,0.08904538159706132
sentiment_avg,0.0
