split,accuracy,f1,auc_roc,n_train,n_test,test_start,test_end,model
1,0.5444,0.5773,0.593,2219,90,2025-03-11,2025-06-08,xgboost_optuna
2,0.5111,0.5217,0.5353,2309,90,2025-06-09,2025-09-06,xgboost_optuna
3,0.4667,0.5102,0.472,2399,90,2025-09-07,2025-12-05,xgboost_optuna
4,0.4889,0.5208,0.5285,2489,90,2025-12-06,2026-03-05,xgboost_optuna
1,0.5222,0.5743,0.5325,2219,90,2025-03-11,2025-06-08,lightgbm
2,0.5333,0.5116,0.5007,2309,90,2025-06-09,2025-09-06,lightgbm
3,0.5333,0.5714,0.5398,2399,90,2025-09-07,2025-12-05,lightgbm
4,0.4667,0.5102,0.5065,2489,90,2025-12-06,2026-03-05,lightgbm
