model,acc_mean,acc_std,f1_mean,f1_std,auc_mean,auc_std
XGBoost (precio + sentiment),0.4766,0.063,0.4702,0.1662,0.5283,0.0773
XGBoost (precio),0.4667,0.0353,0.4667,0.1607,0.5165,0.0627
