split,accuracy,f1,auc_roc,n_train,n_test,test_start,test_end,model
1,0.5667,0.7234,0.4548,2278,60,2025-05-11,2025-07-09,lstm
2,0.5333,0.0,0.5714,2338,60,2025-07-10,2025-09-07,lstm
3,0.5333,0.6957,0.6027,2398,60,2025-09-08,2025-11-06,lstm
4,0.5333,0.0,0.4152,2458,60,2025-11-07,2026-01-05,lstm
5,0.3667,0.5366,0.4486,2518,60,2026-01-06,2026-03-06,lstm
