split,accuracy,f1,auc
1,0.55,0.7096774193548387,0.5061728395061729
2,0.55,0.6493506493506493,0.5524553571428572
3,0.5833333333333334,0.5283018867924528,0.6138392857142858
4,0.5166666666666667,0.5538461538461539,0.5450500556173526
5,0.43333333333333335,0.41379310344827586,0.4665071770334928
