,importance
sma_30,0.11678665727376938
sma_7,0.11252418607473373
macd_signal,0.11237704157829284
returns,0.11223194152116775
bb_lower,0.11126160621643066
rsi_14,0.11005964279174804
bb_upper,0.10966743677854537
macd,0.10839381963014602
fear_greed,0.10669768005609512
sentiment_avg,0.0
