,total_return_pct,cagr_pct,sharpe,sortino,max_dd_pct,calmar,profit_factor,win_rate_pct,avg_win_usd,avg_loss_usd,expectancy_usd,n_trades,avg_duration_h,p_value_vs_0,final_capital
Base (TFG),-0.84,-3.45,-0.21,-0.16,-5.03,-0.69,0.9,44.4,962.97,-854.26,-46.6,9.0,56.9,0.5499,49580.56
ICT Heavy,4.26,19.0,1.07,1.26,-4.96,3.83,1.36,46.2,1338.93,-843.11,163.99,13.0,47.7,0.3224,52131.84
ML Heavy,-5.67,-21.57,-1.59,-1.56,-6.16,-3.5,0.6,35.7,854.02,-789.2,-202.34,14.0,55.7,0.7838,47167.28
Tech Heavy,-1.04,-4.26,-0.74,-0.21,-2.69,-1.59,0.61,33.3,823.28,-671.69,-173.36,3.0,42.7,0.6103,49479.91
Equal,-3.56,-14.03,-1.09,-1.09,-4.91,-2.86,0.66,33.3,1137.31,-865.55,-197.93,9.0,56.9,0.7013,48218.64
