split,accuracy,f1,auc
1,0.45,0.1951219512195122,0.4500561167227834
2,0.5333333333333333,0.5757575757575758,0.5379464285714286
3,0.5666666666666667,0.6388888888888888,0.5636160714285714
4,0.55,0.6197183098591549,0.5417130144605117
5,0.43333333333333335,0.5142857142857142,0.4958133971291866
