,total_return_pct,cagr_pct,sharpe,sortino,max_dd_pct,calmar,profit_factor,win_rate_pct,avg_win_usd,avg_loss_usd,expectancy_usd,n_trades,avg_duration_h,p_value_vs_0,final_capital
th=0.15,2.27,9.81,0.48,0.87,-15.24,0.64,1.08,36.7,1463.22,-787.38,37.84,30.0,53.3,0.4306,51135.25
th=0.20,2.41,10.45,0.56,1.11,-11.61,0.9,1.1,42.3,1177.47,-783.01,46.42,26.0,53.8,0.4152,51206.9
th=0.30,-0.84,-3.45,-0.21,-0.16,-5.03,-0.69,0.9,44.4,962.97,-854.26,-46.6,9.0,56.9,0.5499,49580.56
th=0.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50000.0
th=0.50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50000.0
