split,accuracy,f1,auc_roc,n_train,n_test,test_start,test_end,model
1,0.55,0.6897,0.5124,2321,60,2025-05-11,2025-07-09,arima
2,0.4167,0.5679,0.49,2381,60,2025-07-10,2025-09-07,arima
3,0.4667,0.6098,0.4654,2441,60,2025-09-08,2025-11-06,arima
4,0.4833,0.5867,0.4766,2501,60,2025-11-07,2026-01-05,arima
5,0.45,0.5075,0.4821,2561,60,2026-01-06,2026-03-06,arima
