split,accuracy,f1,auc
1,0.4666666666666667,0.15789473684210525,0.4534231200897868
2,0.48333333333333334,0.6436781609195402,0.6104910714285714
3,0.4666666666666667,0.4482758620689655,0.5133928571428572
4,0.48333333333333334,0.5079365079365079,0.48609566184649616
5,0.45,0.47619047619047616,0.5490430622009569
