split,accuracy,f1,auc
1,0.5333333333333333,0.6744186046511628,0.49494949494949503
2,0.43333333333333335,0.5853658536585366,0.45982142857142855
3,0.5,0.6428571428571429,0.47544642857142855
4,0.5,0.6052631578947368,0.5094549499443827
5,0.43333333333333335,0.5,0.5047846889952152
