sharpe_strategy,sharpe_bnh,cumret_strategy,cumret_bnh,n_trades,split
-5.124840198723135,1.1279831374048628,-0.035691485708542414,0.057792299614530585,5,1
-1.0202705785790533,0.22796876350086118,-0.05032456487584902,0.011609877499111132,59,2
-8.362220676678334,-0.9277251905205323,-0.33028765861039744,-0.05720178385118457,26,3
-8.801463797576636,-1.9987468874260403,-0.3474039842264023,-0.1189315850102296,34,4
-8.3907568865272,-2.3091282885731874,-0.4953463870477004,-0.22180722288294374,41,5
